mouse_id	genotype	sex	age	tissue	pseudochromosome	pseudochromosome_names
17	TREM2 R47H CSS	M	12 months	half_brain	FALSE	
18	TREM2 R47H CSS	M	12 months	half_brain	FALSE	
19	TREM2 R47H CSS	M	12 months	half_brain	FALSE	
20	TREM2 R47H CSS	M	12 months	half_brain	FALSE	
25	C57B6J	M	12 months	half_brain	FALSE	
26	C57B6J	M	12 months	half_brain	FALSE	
27	C57B6J	M	12 months	half_brain	FALSE	
28	C57B6J	M	12 months	half_brain	FALSE	
10721	5xFADWT	M	18 months	CTX	FALSE	
10722	5xFADHEMI	M	18 months	CTX	FALSE	
10725	5xFADHEMI	M	18 months	CTX	FALSE	
10726	5xFADWT	M	18 months	CTX	FALSE	
10727	5xFADHEMI	M	18 months	CTX	FALSE	
10728	5xFADWT	M	18 months	CTX	FALSE	
11616	5xFADHEMI	F	4 months	HC	FALSE	
11617	5xFADHEMI	F	4 months	HC	FALSE	
11625	5xFADHEMI	F	4 months	HC	FALSE	
11627	5xFADWT	F	4 months	HC	FALSE	
11628	5xFADWT	F	4 months	HC	FALSE	
11629	5xFADWT	F	4 months	HC	FALSE	
12517	5xCLU-h2kbKI_HO	F	4 months	HC	TRUE	hCLU
12648	CLU-h2kbKI_HO	F	4 months	HC	TRUE	hCLU
12649	5xCLU-h2kbKI_HO	F	4 months	HC	TRUE	hCLU
12659	5xCLU-h2kbKI_HO	F	4 months	HC	TRUE	hCLU
12660	CLU-h2kbKI_HO	F	4 months	HC	TRUE	hCLU
12670	CLU-h2kbKI_HO	F	4 months	HC	TRUE	hCLU
13019	5xBIN1_HO	F	4 months	HC	FALSE	
13020	5xBIN1_HO	F	4 months	HC	FALSE	
13022	5xBIN1_HO	F	4 months	HC	FALSE	
13036	BIN1_HO	F	4 months	HC	FALSE	
13039	BIN1_HO	F	4 months	HC	FALSE	
13047	BIN1_HO	F	4 months	HC	FALSE	
13048	5xBIN1_HO	F	4 months	HC	FALSE	
13049	BIN1_HO	F	4 months	HC	FALSE	
13051	BIN1_HO	F	4 months	HC	FALSE	
13053	5xBIN1_HO	F	4 months	HC	FALSE	
14359	TREM2 R47H NSS	M	12 months	half_brain	FALSE	
14360	TREM2 R47H NSS	M	12 months	half_brain	FALSE	
14361	TREM2 R47H NSS	M	12 months	half_brain	FALSE	
14362	TREM2 R47H NSS	M	12 months	half_brain	FALSE	
17887	C57B6J	M	8 weeks	HC	FALSE	
17894	hABKI_SWE	F	8 weeks	HC	TRUE	
17895	hABKI_SWE	F	8 weeks	HC	TRUE	
18468	hABKI_SWE	M	8 weeks	HC	TRUE	
18472	hABKI_SWE	F	8 weeks	HC	TRUE	
18503	hTREM2_KI_WT	M	8 weeks	HC	TRUE	
18504	hTREM2_KI_WT	F	8 weeks	HC	TRUE	
18615	hABKI_SWE	M	8 weeks	HC	TRUE	
18634	hTREM2_KI_HET	M	8 weeks	HC	TRUE	
18635	hTREM2_KI_WT	M	8 weeks	HC	TRUE	
18636	hTREM2_KI_WT	M	8 weeks	HC	TRUE	
18711	hTREM2_KI_HET	M	8 weeks	HC	TRUE	
18712	hTREM2_KI_WT	F	8 weeks	HC	TRUE	
18713	hTREM2_KI_HET	F	8 weeks	HC	TRUE	
18714	hTREM2_KI_WT	F	8 weeks	HC	TRUE	
18716	C57B6J	M	8 weeks	HC	FALSE	
18717	C57B6J	F	8 weeks	HC	FALSE	
18788	hABKI_SWE	M	8 weeks	HC	TRUE	
18852	C57B6J	F	8 weeks	HC	FALSE	
18876	hTREM2-R47HKI_HET	M	10 weeks	HC	TRUE	
18882	hTREM2-R47HKI_HET	F	10 weeks	HC	TRUE	
18883	hTREM2-R47HKI_HET	F	10 weeks	HC	TRUE	
18887	hTREM2-R47HKI_HET	M	8 weeks	HC	TRUE	
18892	hTREM2-R47HKI_HET	M	8 weeks	HC	TRUE	
18893	hTREM2-R47HKI_HET	M	8 weeks	HC	TRUE	
18896	hTREM2-R47HKI_HET	F	8 weeks	HC	TRUE	
18897	hTREM2-R47HKI_HET	F	8 weeks	HC	TRUE	
18899	hTREM2-R47HKI_HET	F	8 weeks	HC	TRUE	
18913	hTREM2_KI_HET	M	8 weeks	HC	TRUE	
18919	hTREM2_KI_HET	F	8 weeks	HC	TRUE	
18920	hTREM2_KI_HET	F	8 weeks	HC	TRUE	
19075	C57B6J	M	8 weeks	HC	FALSE	
19078	C57B6J	F	8 weeks	HC	FALSE	
19127	hTREM2_KI_WT	F	8 weeks	HC	TRUE	
11438	ABCA7_HO	F	4 months	HC	FALSE	
11439	ABCA7_HO	F	4 months	HC	FALSE	
11440	ABCA7_HO	F	4 months	HC	FALSE	
11448	ABCA7_HO	F	4 months	HC	FALSE	
11453	ABCA7_HO	F	4 months	HC	FALSE	
19614	hABKI_Swe/IB_HET	F	8 weeks	HC	TRUE	
19613	hABKI_Swe/IB_HET	F	8 weeks	HC	TRUE	
20564	hABKI_Swe/IB_HET	F	8 weeks	HC	TRUE	
19573	hABKI_Swe/IB_HET	M	8 weeks	HC	TRUE	
19574	hABKI_Swe/IB_HET	M	8 weeks	HC	TRUE	
19994	hABKI_Swe/IB_HET	M	8 weeks	HC	TRUE	
19575	hABKI_Swe/IB_WT	F	8 weeks	HC	TRUE	
19612	hABKI_Swe/IB_WT	F	8 weeks	HC	TRUE	
19995	hABKI_Swe/IB_WT	F	8 weeks	HC	TRUE	
20362	hABKI_Swe/IB_WT	M	8 weeks	HC	TRUE	
20363	hABKI_Swe/IB_WT	M	8 weeks	HC	TRUE	
21021	hABKI_Swe/IB_WT	M	8 weeks	HC	TRUE	
