genotype	genotype_notes	pseudochrom_needed	pseudochrom
5xFAD-HO_BIN1-HO	5xFAD-HO_BIN1-HO	FALSE	
5xFAD-HEMI_Clu-h2kbKI-HO	5xFAD-HEMI_Clu-h2kbKI-HO	TRUE	hCLU
5xFAD-HEMI	5xFAD-HEMI	FALSE	
5xFAD-WT	B6J	FALSE	
ABCA7-HO	ABCA7-HO	FALSE	
BIN1-HO	BIN1-HO	FALSE	
B6J	B6J	FALSE	
hABKI-Swe-WT	B6J	FALSE	
5xFAD-WT_Clu-h2kbKI-HO	Clu-h2kbKI-HO	TRUE	hCLU
hABKI-Swe-HO	hABKI-Swe-HO	FALSE	
hMAPT-HO_hABKI-SweIb-HET	hMAPT-HO_hABKI-SweIb-HET	TRUE	hchr17
hMAPT-HO_hABKI-SweIb-WT	hMAPT-HO	TRUE	hchr17
hTREM2KI-HET	hTREM2KI-HET	TRUE	hTREM2
hTREM2KI-WT	B6J	FALSE	
hTREM2-R47HKI-HET	hTREM2-R47HKI-HET	TRUE	hTREM2
Trem2-R47H-CSS	Trem2-R47H-CSS	FALSE	
Trem2-R47H-NSS	Trem2-R47H-NSS	FALSE	
hABKI-HO_hMAPT-H2-HO_hAPOE4-HO	MODELAD1	TRUE	hchr17,hAPOE4
mTrem2-T96K-WT	mTrem2-T96K-WT	FALSE	
mTrem2-T96K-HET	mTrem2-T96K-HET	FALSE	

